AOS 60,Common Name,Scientific Name,group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size,Global Pop Size#,Pop Size_US-Ca,Pop Size_US-Ca#,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,%GL_WH-b,%WH_US-Ca-b,% Breeding Pop in US & Canada,% Breeding Pop in US & Canada#,%Pop_s,BD-g,BD area,BD-g_s,BD-g_com,ND-g,ND area,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,TN-c,TN-c_s,TN-c_com,PT-c,PT-c_s,PT-c_com,trend (%/yr),trend source,lcl_90%CI,ucl_90%CI,lcl_67%CI,ucl_67%CI,RA,DF,pop change,pop change 90% lcl,pop change 90% ucl,Half-Life,CCS-b,CCS-n,CCS-max,CI,IUCN Red List 2018,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
327,Magenta-throated Woodstar,Calliphlox bryantae,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,,,,,,5,9247,NatureServe,,5,9247,NatureServe,,4,PIF CAW 2014,,4,PIF CAW 2014,,4,PIF CAW 2014,,,,,,,,,,,,,,18,18,18,Watch List - Red,LC,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
328,Purple-throated Woodstar,Calliphlox mitchellii,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,,,,,,5,36163,NatureServe,,5,36163,NatureServe,,2,PIF CAW 2014,se preocupa más la pérdida de hábitat en Columbia,2,PIF CAW 2014,,3,PIF CAW 2014,,,,,,,,,,,,,,15,15,15,Watch List - Yel-R,LC,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
329,Slender Sheartail,Doricha enicura,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,1,1,R,,,5,Gomez-Panjabi,,,,,,,,,,,,,,5,78858,Natureserve 3.0,,5,78858,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate habitat loss,4,PIF CAW 2014,"MX endemic, all regions score PT=4",,,,,,,,,,,,,17,17,17,Watch List - Red,LC,,,Mesoamerican Highlands,Mesoamerican Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
330,Mexican Sheartail,Doricha eliza,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,1,0,R,,,5,Gomez-Panjabi,,,,,,,,,,,,,,5,9529,Natureserve 3.0,,5,9529,Natureserve 3.0,,4,MX-NSAC,global score should reflect regional experts' opinion.,4,MX-NSAC,"moderate habitat loss; Veracruz population highly threatened, secure in Yucatan",4,MX-NSAC,,,,,,,,,,,,,,18,18,18,Watch List - Red,NT,,,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests:  Tropical Dry,,Forests:  Tropical Dry,
331,Sparkling-tailed Hummingbird,Tilmatura dupontii,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,1,1,R,,,5,Gomez-Panjabi,,,,,,,,,,,,,,4,293073,Natureserve 3.0,,4,293073,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,"moderate habitat loss; Veracruz population highly threatened, secure in Yucatan",4,PIF CAW 2014,"MX endemic, all regions score PT=4",,,,,,,,,,,,,16,16,16,Watch List - Yel-R,LC,,,Mesoamerican Highlands,Mesoamerican Highlands,Forests:  Mesoamerican Pine-Oak,,Forests:  Mesoamerican Pine-Oak,
332,Lucifer Hummingbird,Calothorax lucifer,landbird,Apodiformes,Trochilidae,Monotypic.,0,1,1,0,PM,,,4,PIFTC-02–PS-g midpoint,,"200,000",200000,"<5,000",5000,,PIFSC-16,guestimate based on eBird distribution,100,,,,"eBrd17(UsCa,WHem)",3,338973,Natureserve 3.0,,4,226772,Natureserve 3.0,,3,PIFTC-02,global score should reflect regional experts' opinion.  Relatively specialized habitat throughout most of range (desert foothill washes); at least moderate vulnerability to climate change (AP).,3,PIFTC-02,tolerant of disturbance,3,MX-NSAC 2008,,,,,,,,,,,,,,13,14,14,Watch List - Yel-R,LC,,,North American Southwest,Mesoamerican Pacific Lowlands,Aridlands:  Desert Scrub,,Forests:  Tropical Dry,
333,Beautiful Hummingbird,Calothorax pulcher,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,1,0,R,,,5,Gomez-Panjabi,,,,,,,,,,,,,,5,53029,Natureserve 3.0,,5,53029,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,"moderate habitat loss; Veracruz population highly threatened, secure in Yucatan",3,MX-NSAC,,,,,,,,,,,,,,16,16,16,Watch List - Yel-R,LC,,,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests:  Tropical Dry,,Forests:  Tropical Dry,
341,Costa's Hummingbird,Calypte costae,landbird,Apodiformes,Trochilidae,Monotypic.,0,1,1,0,PM,,,3,PIFcalc19,,"3,400,000",3400000,"1,600,000",1600000,2010.5,PIFcalc19,,100,46.55345154,46.55345,46.55345154,"bbs0514(UsCa), eBrd17(WHem)",3,563917,Natureserve 3.0,,3,390144,Natureserve 3.0,,3,PIFTC-02,"Not more threatened than other desert species (KR).  Uses all kinds of deserts and seems tolerant of urbanization; what are threats? (KVR); CB - potentially affected by Climate Change; due to body size/heat extremes, decoupling of nectar sources; Something is causing a steep decline (AP)",3,PIFTC-02,"CB-has not adapted to urban as well as Anna's, grazing, nonnatives, fire, competition with Anna's, urbanization (BNA, Small, CAFS).  CB-potentially affected byCC; due to body size/heat extremes, decoupling of nectar sources;",2,BBS7017,,-0.08,BBS7017,-1.39,1.17,-0.89,0.71,0.67,96,-4.94,-41.38,94.84,37,11,11,11,,LC,,,North American Southwest,North American Southwest,Aridlands:  Desert Scrub,,Aridlands:  Desert Scrub,
342,Bumblebee Hummingbird,Atthis heloisa,landbird,Apodiformes,Trochilidae,,0,0,1,0,R,,,4,Gomez-Panjabi,,,,,,,,,,,,,,4,248267,Natureserve 3.0,,4,248267,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,requires forest,3,MX-NSAC,,,,,,,,,,,,,,14,14,14,Watch List - Yel-R,LC,,,Mesoamerican Highlands,Mesoamerican Highlands,Forests:  Mesoamerican Pine-Oak,Forests:  Mesoamerican Highland,Forests:  Mesoamerican Pine-Oak,Forests:  Mesoamerican Highland
343,Wine-throated Hummingbird,Atthis ellioti,landbird,Apodiformes,Trochilidae,,0,0,1,1,R,,,5,Gomez-Panjabi,,,,,,,,,,,,,,4,95311,Natureserve 3.0,,4,95311,Natureserve 3.0,,4,MX-NSAC,,4,MX-NSAC,cloud forest specialist,4,PIF CAW 2014,,,,,,,,,,,,,,17,17,17,Watch List - Red,LC,,,Mesoamerican Highlands,Mesoamerican Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
344,Broad-tailed Hummingbird,Selasphorus platycercus,landbird,Apodiformes,Trochilidae,Monotypic.,0,1,1,1,PM,,,2,PIFcalc19,,"9,800,000",9800000,"8,800,000",8800000,2010.5,PIFcalc19,,100,90.16348267,90.16348,90.16348267,"bbs0514(UsCa), eBrd17(WHem)",2,2012500,PIFSC-08,"NS map highly fragmented; NatGeo polygon about 1,150,000 km2 in US based on state proportions, + 75% more in Mexico",4,259689,Natureserve 3.0,"range in northern Mexico should be Breeding only, rest of wintering map somewhat fragmented, leave area as isKen comment: range in northern Mexico should be Breeding only, rest of wintering map somewhat fragmented, leave area as is",3,PIFSC-19,changed due to calibration with TB-r; concern over climate change cited,2,PIFTC-02,,5,BBS7017,,-1.65,BBS7017,-2.02,-1.31,-1.86,-1.46,3.24,295,-54.04,-60.44,-42.68,48,12,13,13,Watch List - Yel-D,LC,yes,,Intermountain West,Mesoamerican Highlands,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak,Forests:  Mesoamerican Pine-Oak,
402,Blue-throated Goldentail,Hylocharis eliciae,landbird,Apodiformes,Trochilidae,,0,0,1,1,R,,,4,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,,,,,,,,,3,307428,Natureserve 3.0,,3,307428,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,tolerant of disturbance (Costa Rica),4,PIF CAW 2014,"Fairly common in Costa Rica (Garrigues and Dean).  Ridgley and Tudor (1989) suggest a possible decline in Panama.; no hay evidencia de declive en mexico, pero sugerimos 4 tambien, por congruencia con el promedio",,,,,,,,,,,,,14,14,14,Watch List - Yel-R,LC,,,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests:  Tropical Lowland Evergreen,Forests:  Tropical Dry,Forests:  Tropical Lowland Evergreen,Forests:  Tropical Dry
403,White-eared Hummingbird,Hylocharis leucotis,landbird,Apodiformes,Trochilidae,,0,0,1,1,R,,,3,PIFTC-02–PS-g midpoint,,"2,000,000",2000000,<200,200,,PIFSC-16,guestimate based on eBird distribution;,,,<1,0.01,PIFTC-02; PIFSC-16,3,558435,Natureserve 3.0,,3,558435,Natureserve 3.0,,2,PIFTC-02,,2,PIFTC-02,tolerant of disturbance (Costa Rica),3,MX-NSAC 2008,,,,,,,,,,,,,,11,11,11,,LC,,,Mesoamerican Highlands,Mesoamerican Highlands,Forests:  Mesoamerican Pine-Oak,Forests:  Mesoamerican Highland,Forests:  Mesoamerican Pine-Oak,Forests:  Mesoamerican Highland
404,Xantus's Hummingbird,Hylocharis xantusii,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,1,0,R,,,5,Gomez-Panjabi,,,,,,,,,,,,,,5,41996,Natureserve 3.0,,5,41996,Natureserve 3.0,,3,MX-NSAC,global score should reflect regional experts' opinion.,3,MX-NSAC,no known threats,2,MX-NSAC,,,,,,,,,,,,,,15,15,15,Watch List - Yel-R,LC,,,North American Southwest,North American Southwest,Aridlands:  Desert Scrub,,Aridlands:  Desert Scrub,
405,Yellow Rail,Coturnicops noveboracensis,waterbird,Gruiformes,Rallidae,,1,1,1,0,M,,,5,"WPE5, BirdLife 2015",missing data for ssp. goldmani.  2000-2008 expert opinion. (WPE5),">12,000",12000,">12,000",12000,,"WPE5, BirdLife 2015",missing data for ssp. goldmani.  2000-2008 expert opinion. (WPE5),100,,,,eBrd17(UsCa),2,3649430,Natureserve,,3,451887,Natureserve,,3,Waterbird Working Group 2017,"similar threats to habitat as sedge wren, leconte's sparrow and nelson's sparrow",4,Waterbird Working Group 2017,mostly winters on coast; vulnerable to sea-level rise,3,Waterbird Working Group 2017,"considered stable in Delany and Scott; decline identified at Waterbirds for the Americas Marshbird Assessment workshop, see Hunter 2006",,,,,,,,,,,,,13,15,15,Watch List - Yel-R,LC,,w,Northern Forest,Eastern Temperate,Wetlands:  Boreal,Wetlands:  Freshwater Marsh,Coasts:  Saltmarsh,Wetlands:  Freshwater Marsh
406,Ocellated Crake,Micropygia schomburgkii,waterbird,Gruiformes,Rallidae,,0,0,0,1,R,,,4,PIF CAW 2016,,,,,,,,,,,,,,2,2870000,BirdLife 2016,,2,2870000,BirdLife 2016,,3,PIF CAW 2014,"porque están en reservas indígenas su hábitat de seguir protegido; se queman los pastizales, pero parece resistente a tal manejo",3,PIF CAW 2014,,5,PIF CAW 2014,por la pérdida de savanas planas por cultivo de piña se ha disminuido mucho su hábitat; solo en Costa Rica en CA,,,,,,,,,,,,,14,14,14,Watch List - Yel-D,LC,,,South American Lowlands,South American Lowlands,Grasslands:  Tropical,,Grasslands:  Tropical,
407,Ruddy Crake,Laterallus ruber,waterbird,Gruiformes,Rallidae,Monotypic.,0,0,1,1,R,,,4,PIF CAW 2016,score change from 5 to 4 recommended by Central Americans in 2016,,,,,,,,,,,,,3,559308,Natureserve,,3,559308,Natureserve,,2,MX-NSAC,,2,MX-NSAC,,2,PIF CAW 2014,unknown,,,,,,,,,,,,,11,11,11,,LC,,,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,
507,White-rumped Sandpiper,Calidris fuscicollis,shorebird,Charadriiformes,Scolopacidae,Monotypic.,1,1,1,1,M,,,3,USSCP 2016,,"1,700,000",1700000,"1,700,000",1700000,,USSCP 2016,,100,92.07081604,100,100,USSCP 2016,2,1356521,BirdLife and NatureServe (2012),,3,419024,BirdLife and NatureServe (2012),,2,USSCP 2016,,4,USSCP 2016,,2,Mig7416,,1.27,Mig7416,-2.73,4.24,,,,,10.36,-63.76,245.27,,9,12,12,,LC,,,Arctic,Temperate South America,Wetlands:  Tundra,,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers
