watershed,property,path,site_point,x,y,perc_forest_fence,perc_forest_no_fence,perc_old_restoration,perc_savanna,perc_live_fences,percent_young_restoration,perc_agroforestry,perc_shrubs,perc_pasture,perc_other_crops,perc_water
Guacaica,la judea,quebrada negra ,1092-10,-75.48369333,5.155646667,0,95,0,0,0,0,5,0,0,0,0
Guacaica,la judea ,quebrada negra ,1092-11,-75.48406,5.157496667,0,10,0,0,0,20,70,0,0,0,0
Guacaica,Pancitara,Quebrada negra,1063-1,-75.48343877,5.149981667,50,0,0,5,0,0,0,0,15,30,0
Guacaica,Pancitara,Quebrada negra,1063-2,-75.48332535,5.148123017,0,0,0,25,0,0,0,0,75,0,0
Guacaica,Pancitara,Quebrada negra,1063-3,-75.48346013,5.146244267,0,0,0,0,20,0,0,0,50,30,0
Guacaica,La Palma,bajo Corinto ,837-1,-75.51074333,5.09033,0,35,0,0,0,0,0,0,65,0,0
Guacaica,la Palma ,bajo Corinto ,837-2,-75.50892333,5.090271666,0,20,0,10,0,5,0,0,65,0,0
Guacaica,la Palma ,bajo Corinto ,837-3,-75.50727333,5.089676666,0,50,0,0,0,0,0,0,50,0,0
Guacaica,la Palma ,bajo Corinto ,837-4,-75.50896667,5.091988333,0,10,0,10,0,0,0,0,80,0,0
Guacaica,la Palma ,bajo Corinto ,837-5,-75.50925,5.093843333,0,60,0,0,0,0,0,0,38,0,2
Guacaica,la Palma ,bajo Corinto ,837-6,-75.51083,5.095755,10,20,0,0,0,0,0,0,70,0,0
Guacaica,la palma,bajo Corinto ,837-7,-75.50911167,5.095948334,0,100,0,0,0,0,0,0,0,0,0
Guacaica,la palma ,bajo Corinto ,837-8,-75.51102833,5.09404,0,35,0,0,0,0,0,0,65,0,0
Guacaica,la Palma ,bajo Corinto ,837-9,-75.51119667,5.092145,0,30,0,0,0,0,0,0,70,0,0
Guacaica,,,916-1,-75.50289667,5.115021667,0,70,0,0,0,0,0,0,20,10,0
Guacaica,pancitara,Guacaica,1063-4,-75.48184788,5.14960125,0,60,0,5,0,0,0,0,35,0,0
Guacaica,pancitara,,1063-5,-75.48198858,5.148065767,0,70,0,10,0,0,0,0,20,0,0
Guacaica,pancitara,quebrada negra ,1063-6,-75.48446167,5.144946666,50,0,0,15,0,0,0,0,35,0,0
Guacaica,pancitara,quebrada negra ,1063-7,-75.48190667,5.146116666,70,0,0,0,0,0,0,0,0,0,30
Guacaica,pancitara,,1063-8,-75.480215,5.148448333,0,80,0,0,0,0,0,0,0,0,20
Guacaica,pancitara,quebrada negra ,1063-9,-75.48126667,5.144543334,0,0,0,20,0,10,0,0,60,10,0
Guacaica,pancitara,quebrada negra ,1063-10,-75.48009333,5.146285,0,10,0,20,0,0,0,0,60,10,0
Guacaica,pancitara,quebrada negra ,1063-11,-75.478165,5.145991667,0,20,0,40,5,0,0,0,25,10,0
